state,group,date,count
ACT,ward,2020-01-25,0
ACT,ICU,2020-01-25,0
ACT,ward,2020-01-26,0
ACT,ICU,2020-01-26,0
ACT,ward,2020-01-27,0
ACT,ICU,2020-01-27,0
ACT,ward,2020-01-28,0
ACT,ICU,2020-01-28,0
ACT,ward,2020-01-29,0
ACT,ICU,2020-01-29,0
ACT,ward,2020-01-30,0
ACT,ICU,2020-01-30,0
ACT,ward,2020-01-31,0
ACT,ICU,2020-01-31,0
ACT,ward,2020-02-01,0
ACT,ICU,2020-02-01,0
ACT,ward,2020-02-02,0
ACT,ICU,2020-02-02,0
ACT,ward,2020-02-03,0
ACT,ICU,2020-02-03,0
ACT,ward,2020-02-04,0
ACT,ICU,2020-02-04,0
ACT,ward,2020-02-05,0
ACT,ICU,2020-02-05,0
ACT,ward,2020-02-06,0
ACT,ICU,2020-02-06,0
ACT,ward,2020-02-07,0
ACT,ICU,2020-02-07,0
ACT,ward,2020-02-08,0
ACT,ICU,2020-02-08,0
ACT,ward,2020-02-09,0
ACT,ICU,2020-02-09,0
ACT,ward,2020-02-10,0
ACT,ICU,2020-02-10,0
ACT,ward,2020-02-11,0
ACT,ICU,2020-02-11,0
ACT,ward,2020-02-12,0
ACT,ICU,2020-02-12,0
ACT,ward,2020-02-13,0
ACT,ICU,2020-02-13,0
ACT,ward,2020-02-14,0
ACT,ICU,2020-02-14,0
ACT,ward,2020-02-15,0
ACT,ICU,2020-02-15,0
ACT,ward,2020-02-16,0
ACT,ICU,2020-02-16,0
ACT,ward,2020-02-17,0
ACT,ICU,2020-02-17,0
ACT,ward,2020-02-18,0
ACT,ICU,2020-02-18,0
ACT,ward,2020-02-19,0
ACT,ICU,2020-02-19,0
ACT,ward,2020-02-20,0
ACT,ICU,2020-02-20,0
ACT,ward,2020-02-21,0
ACT,ICU,2020-02-21,0
ACT,ward,2020-02-22,0
ACT,ICU,2020-02-22,0
ACT,ward,2020-02-23,0
ACT,ICU,2020-02-23,0
ACT,ward,2020-02-24,0
ACT,ICU,2020-02-24,0
ACT,ward,2020-02-25,0
ACT,ICU,2020-02-25,0
ACT,ward,2020-02-26,0
ACT,ICU,2020-02-26,0
ACT,ward,2020-02-27,0
ACT,ICU,2020-02-27,0
ACT,ward,2020-02-28,0
ACT,ICU,2020-02-28,0
ACT,ward,2020-02-29,0
ACT,ICU,2020-02-29,0
ACT,ward,2020-03-01,0
ACT,ICU,2020-03-01,0
ACT,ward,2020-03-02,0
ACT,ICU,2020-03-02,0
ACT,ward,2020-03-03,0
ACT,ICU,2020-03-03,0
ACT,ward,2020-03-04,0
ACT,ICU,2020-03-04,0
ACT,ward,2020-03-05,0
ACT,ICU,2020-03-05,0
ACT,ward,2020-03-06,0
ACT,ICU,2020-03-06,0
ACT,ward,2020-03-07,0
ACT,ICU,2020-03-07,0
ACT,ward,2020-03-08,0
ACT,ICU,2020-03-08,0
ACT,ward,2020-03-09,0
ACT,ICU,2020-03-09,0
ACT,ward,2020-03-10,0
ACT,ICU,2020-03-10,0
ACT,ward,2020-03-11,0
ACT,ICU,2020-03-11,0
ACT,ward,2020-03-12,0
ACT,ICU,2020-03-12,0
ACT,ward,2020-03-13,0
ACT,ICU,2020-03-13,0
ACT,ward,2020-03-14,0
ACT,ICU,2020-03-14,0
ACT,ward,2020-03-15,0
ACT,ICU,2020-03-15,0
ACT,ward,2020-03-16,0
ACT,ICU,2020-03-16,0
ACT,ward,2020-03-17,0
ACT,ICU,2020-03-17,0
ACT,ward,2020-03-18,0
ACT,ICU,2020-03-18,0
ACT,ward,2020-03-19,0
ACT,ICU,2020-03-19,0
ACT,ward,2020-03-20,0
ACT,ICU,2020-03-20,0
ACT,ward,2020-03-21,0
ACT,ICU,2020-03-21,0
ACT,ward,2020-03-22,0
ACT,ICU,2020-03-22,0
ACT,ward,2020-03-23,0
ACT,ICU,2020-03-23,0
ACT,ward,2020-03-24,0
ACT,ICU,2020-03-24,0
ACT,ward,2020-03-25,0
ACT,ICU,2020-03-25,0
ACT,ward,2020-03-26,0
ACT,ICU,2020-03-26,0
ACT,ward,2020-03-27,0
ACT,ICU,2020-03-27,0
ACT,ward,2020-03-28,0
ACT,ICU,2020-03-28,0
ACT,ward,2020-03-29,6
ACT,ICU,2020-03-29,0
ACT,ward,2020-03-30,4
ACT,ICU,2020-03-30,2
ACT,ward,2020-03-31,6
ACT,ICU,2020-03-31,0
ACT,ward,2020-04-01,9
ACT,ICU,2020-04-01,0
ACT,ward,2020-04-02,4
ACT,ICU,2020-04-02,4
ACT,ward,2020-04-03,7
ACT,ICU,2020-04-03,2
ACT,ward,2020-04-04,11
ACT,ICU,2020-04-04,2
ACT,ward,2020-04-05,3
ACT,ICU,2020-04-05,3
ACT,ward,2020-04-06,4
ACT,ICU,2020-04-06,3
ACT,ward,2020-04-07,3
ACT,ICU,2020-04-07,3
ACT,ward,2020-04-08,1
ACT,ICU,2020-04-08,3
ACT,ward,2020-04-09,1
ACT,ICU,2020-04-09,2
ACT,ward,2020-04-10,2
ACT,ICU,2020-04-10,2
ACT,ward,2020-04-11,2
ACT,ICU,2020-04-11,2
ACT,ward,2020-04-12,1
ACT,ICU,2020-04-12,2
ACT,ward,2020-04-13,1
ACT,ICU,2020-04-13,2
ACT,ward,2020-04-14,0
ACT,ICU,2020-04-14,2
ACT,ward,2020-04-15,1
ACT,ICU,2020-04-15,1
ACT,ward,2020-04-16,1
ACT,ICU,2020-04-16,1
ACT,ward,2020-04-17,1
ACT,ICU,2020-04-17,1
ACT,ward,2020-04-18,1
ACT,ICU,2020-04-18,0
ACT,ward,2020-04-19,0
ACT,ICU,2020-04-19,0
ACT,ward,2020-04-20,1
ACT,ICU,2020-04-20,0
ACT,ward,2020-04-21,1
ACT,ICU,2020-04-21,0
ACT,ward,2020-04-22,1
ACT,ICU,2020-04-22,0
ACT,ward,2020-04-23,1
